ISBN,Título,Precio SBS,Precio Crisol,Mejor Opción
9788491421337,PINOCHO,S/ 34.93,"S/ 49,90",SBS
9788491056584,"AVENTURAS DE PINOCHO, LAS",S/ 49.00,"S/ 49,00",SBS
9786124301803,PINOCHO Y SUS AVENTURAS POR EL AMAZONAS,S/ 39.00,"S/ 43,00",SBS
9788491456865,PEQUEÑOS CLÁSICOS PARA NIÑOS: LAS AVENTU,S/ 70.00,"S/ 70,00",SBS
